vehicle_id,depart,arrival,duration,routeLength,waitingTime,waitingCount,timeLoss,departDelay
182,364.0,473.0,109.0,1249.74,0.0,0,18.47,0.0
206,412.0,473.0,61.0,418.76,13.0,2,41.22,0.0
187,374.0,475.0,101.0,1200.54,0.0,0,17.6,0.0
198,396.0,478.0,82.0,1046.09,0.0,0,11.4,0.0
235,470.0,483.0,13.0,137.55,0.0,0,3.65,0.0
210,421.0,484.0,63.0,440.51,11.0,2,42.0,1.0
191,382.0,485.0,103.0,1380.62,0.0,0,16.67,0.0
217,434.0,486.0,52.0,554.83,0.0,0,5.16,0.0
233,466.0,494.0,28.0,478.35,0.0,0,6.52,0.0
239,478.0,494.0,16.0,116.96,0.0,0,10.02,0.0
213,426.0,495.0,69.0,689.16,4.0,1,36.42,0.0
229,458.0,495.0,37.0,420.43,0.0,0,15.69,0.0
240,480.0,498.0,18.0,145.53,0.0,0,8.53,0.0
211,422.0,499.0,77.0,590.24,14.0,3,47.77,0.0
222,444.0,500.0,56.0,242.32,21.0,1,38.07,0.0
178,356.0,503.0,147.0,1552.56,0.0,0,52.04,0.0
225,450.0,505.0,55.0,481.85,0.0,0,17.47,0.0
216,432.0,506.0,74.0,824.31,0.0,0,16.03,0.0
228,456.0,508.0,52.0,443.4,12.0,1,30.41,0.0
246,492.0,508.0,16.0,165.77,0.0,0,4.46,0.0
199,398.0,510.0,112.0,1386.97,0.0,0,16.8,0.0
237,474.0,511.0,37.0,417.72,0.0,0,12.52,0.0
219,438.0,515.0,77.0,824.31,0.0,0,15.12,0.0
226,454.0,515.0,61.0,517.88,5.0,2,39.83,2.0
230,460.0,516.0,56.0,297.66,19.0,2,40.62,0.0
234,468.0,519.0,51.0,393.1,0.0,0,23.88,0.0
232,464.0,521.0,57.0,554.83,0.0,0,5.0,0.0
209,418.0,522.0,104.0,792.69,14.0,2,51.98,0.0
231,463.0,529.0,66.0,776.17,1.0,1,18.98,1.0
243,486.0,530.0,44.0,494.38,0.0,0,18.21,0.0
224,449.0,532.0,83.0,1018.63,0.0,0,11.54,1.0
248,496.0,535.0,39.0,385.94,0.0,0,14.34,0.0
244,488.0,540.0,52.0,537.11,0.0,0,22.49,0.0
259,518.0,542.0,24.0,349.81,0.0,0,4.63,0.0
262,524.0,550.0,26.0,290.52,0.0,0,10.85,0.0
252,504.0,554.0,50.0,568.8,0.0,0,9.24,0.0
236,472.0,555.0,83.0,1178.82,0.0,0,16.37,0.0
253,507.0,556.0,49.0,567.72,0.0,0,8.74,1.0
242,484.0,559.0,75.0,689.48,3.0,1,23.44,0.0
257,516.0,560.0,44.0,568.8,0.0,0,12.68,2.0
238,476.0,566.0,90.0,1380.62,0.0,0,16.38,0.0
256,513.0,571.0,58.0,646.43,0.0,0,24.14,1.0
223,446.0,572.0,126.0,1432.2,1.0,1,25.64,0.0
266,532.0,574.0,42.0,337.01,2.0,1,22.75,0.0
268,540.0,576.0,36.0,351.83,0.0,0,5.66,4.0
250,500.0,577.0,77.0,609.96,8.0,3,40.37,0.0
278,556.0,579.0,23.0,195.53,0.0,0,7.99,0.0
251,502.0,582.0,80.0,824.31,0.0,0,15.72,0.0
265,530.0,586.0,56.0,659.1,0.0,0,9.59,0.0
267,534.0,587.0,53.0,419.29,0.0,0,18.99,0.0
281,562.0,587.0,25.0,424.73,0.0,0,6.73,0.0
249,498.0,588.0,90.0,1386.97,0.0,0,19.54,0.0
273,546.0,589.0,43.0,346.58,0.0,0,19.86,0.0
272,544.0,592.0,48.0,417.61,11.0,1,28.89,0.0
275,551.0,593.0,42.0,474.05,0.0,0,16.67,1.0
227,454.0,594.0,140.0,1552.56,4.0,2,47.24,0.0
258,516.0,596.0,80.0,707.71,5.0,1,31.57,0.0
269,538.0,596.0,58.0,445.09,5.0,1,38.3,0.0
263,526.0,597.0,71.0,670.71,8.0,2,39.35,0.0
270,540.0,597.0,57.0,536.74,2.0,1,24.58,0.0
289,578.0,599.0,21.0,254.88,0.0,0,10.44,0.0
291,582.0,600.0,18.0,222.95,0.0,0,6.99,0.0
282,564.0,603.0,39.0,227.24,4.0,1,17.52,0.0
294,588.0,606.0,18.0,187.03,0.0,0,9.22,0.0
274,548.0,613.0,65.0,700.79,0.0,0,9.09,0.0
255,510.0,614.0,104.0,976.36,0.0,0,15.95,0.0
280,560.0,614.0,54.0,633.03,0.0,0,21.05,0.0
285,570.0,614.0,44.0,484.63,0.0,0,18.13,0.0
254,508.0,615.0,107.0,1386.97,0.0,0,17.08,0.0
264,528.0,615.0,87.0,1200.54,1.0,1,20.65,0.0
293,586.0,615.0,29.0,251.99,0.0,0,14.88,0.0
245,490.0,616.0,126.0,786.03,34.0,2,72.0,0.0
221,442.0,618.0,176.0,1839.76,7.0,3,63.35,0.0
288,576.0,618.0,42.0,486.97,0.0,0,10.1,0.0
290,580.0,620.0,40.0,456.8,0.0,0,15.26,0.0
276,552.0,621.0,69.0,603.88,0.0,0,6.18,0.0
247,494.0,626.0,132.0,1431.12,0.0,0,30.56,0.0
286,577.0,629.0,52.0,432.84,8.0,1,28.43,5.0
295,591.0,632.0,41.0,456.8,2.0,1,17.63,1.0
307,614.0,632.0,18.0,155.41,0.0,0,7.75,0.0
298,597.0,635.0,38.0,396.45,0.0,0,17.02,1.0
283,566.0,639.0,73.0,655.48,7.0,1,27.68,0.0
284,568.0,641.0,73.0,494.01,9.0,2,35.58,0.0
300,600.0,641.0,41.0,381.07,0.0,0,16.95,0.0
287,575.0,642.0,67.0,596.37,5.0,1,18.16,1.0
241,482.0,644.0,162.0,1839.76,0.0,0,33.92,0.0
314,628.0,644.0,16.0,241.29,0.0,0,5.61,0.0
297,594.0,645.0,51.0,568.8,0.0,0,10.46,0.0
277,554.0,646.0,92.0,1419.58,0.0,0,22.42,0.0
302,604.0,655.0,51.0,633.03,0.0,0,17.6,0.0
292,584.0,658.0,74.0,1121.95,0.0,0,11.54,0.0
308,616.0,658.0,42.0,394.02,0.0,0,9.19,0.0
306,612.0,661.0,49.0,633.03,0.0,0,17.55,0.0
313,626.0,664.0,38.0,347.85,3.0,1,20.42,0.0
311,622.0,666.0,44.0,415.3,1.0,1,13.06,0.0
315,630.0,667.0,37.0,417.14,0.0,0,16.88,0.0
316,632.0,667.0,35.0,266.23,4.0,1,17.7,0.0
260,520.0,676.0,156.0,1122.71,24.0,2,48.96,0.0
301,602.0,677.0,75.0,792.69,0.0,0,21.51,0.0
310,620.0,677.0,57.0,668.27,0.0,0,7.62,0.0
303,606.0,678.0,72.0,484.63,28.0,1,47.28,0.0
305,610.0,678.0,68.0,501.42,10.0,1,30.28,0.0
317,634.0,680.0,46.0,486.97,0.0,0,10.13,0.0
328,656.0,681.0,25.0,424.73,0.0,0,5.29,0.0
318,636.0,684.0,48.0,504.94,1.0,1,27.61,0.0
296,592.0,688.0,96.0,1200.54,4.0,1,28.77,0.0
325,650.0,689.0,39.0,473.85,0.0,0,13.58,0.0
322,644.0,691.0,47.0,480.61,0.0,0,15.26,0.0
320,640.0,694.0,54.0,668.27,1.0,1,15.39,0.0
331,663.0,696.0,33.0,478.35,0.0,0,8.99,1.0
339,678.0,697.0,19.0,336.92,0.0,0,6.0,0.0
330,660.0,698.0,38.0,481.79,0.0,0,12.55,0.0
279,558.0,703.0,145.0,1122.71,27.0,3,62.14,0.0
350,701.0,704.0,3.0,9.61,0.0,0,2.41,1.0
332,664.0,706.0,42.0,462.56,0.0,0,20.95,0.0
333,666.0,707.0,41.0,423.11,0.0,0,17.63,0.0
336,675.0,707.0,32.0,374.31,0.0,0,14.27,3.0
343,686.0,708.0,22.0,336.92,0.0,0,5.14,0.0
304,608.0,709.0,101.0,1373.21,0.0,0,10.29,0.0
323,646.0,709.0,63.0,659.1,0.0,0,9.05,0.0
335,670.0,710.0,40.0,449.58,0.0,0,13.68,0.0
319,638.0,711.0,73.0,761.05,5.0,1,27.03,0.0
326,652.0,712.0,60.0,548.96,0.0,0,17.65,0.0
329,658.0,717.0,59.0,325.93,23.0,1,37.01,0.0
312,624.0,718.0,94.0,1423.35,0.0,0,18.54,0.0
346,692.0,718.0,26.0,324.6,0.0,0,11.84,0.0
261,523.0,719.0,196.0,1509.83,28.0,2,108.78,1.0
309,618.0,720.0,102.0,792.69,16.0,2,54.27,0.0
353,719.0,724.0,5.0,21.78,0.0,0,3.28,13.0
271,542.0,730.0,188.0,1509.83,29.0,3,73.23,0.0
324,648.0,733.0,85.0,976.36,0.0,0,18.12,0.0
342,684.0,734.0,50.0,274.6,12.0,2,33.97,0.0
341,696.0,737.0,41.0,445.26,0.0,0,13.09,14.0
340,680.0,738.0,58.0,480.61,7.0,1,32.82,0.0
361,722.0,738.0,16.0,225.6,0.0,0,4.42,0.0
337,674.0,740.0,66.0,689.48,0.0,0,15.77,0.0
349,698.0,743.0,45.0,532.91,0.0,0,17.13,0.0
360,720.0,744.0,24.0,282.28,0.0,0,9.4,0.0
358,716.0,746.0,30.0,347.85,0.0,0,13.4,0.0
356,712.0,748.0,36.0,440.51,0.0,0,11.58,0.0
354,708.0,750.0,42.0,431.12,4.0,1,19.65,0.0
355,710.0,752.0,42.0,310.12,1.0,1,27.45,0.0
362,724.0,752.0,28.0,315.55,0.0,0,12.23,0.0
364,728.0,753.0,25.0,424.73,0.0,0,5.76,0.0
348,696.0,757.0,61.0,540.68,4.0,1,31.76,0.0
347,694.0,760.0,66.0,416.38,7.0,1,23.43,0.0
351,702.0,769.0,67.0,554.83,0.0,0,5.74,0.0
299,598.0,770.0,172.0,1839.76,20.0,2,59.86,0.0
372,744.0,771.0,27.0,318.18,0.0,0,10.15,0.0
363,726.0,773.0,47.0,473.85,2.0,1,18.6,0.0
345,691.0,775.0,84.0,1091.46,0.0,0,12.9,1.0
376,752.0,775.0,23.0,259.31,0.0,0,9.13,0.0
370,740.0,777.0,37.0,315.55,5.0,1,19.54,0.0
368,736.0,778.0,42.0,532.91,0.0,0,20.28,0.0
365,730.0,779.0,49.0,265.59,8.0,2,34.46,0.0
369,738.0,789.0,51.0,537.52,0.0,0,21.97,0.0
367,734.0,790.0,56.0,536.74,3.0,1,24.69,0.0
352,704.0,791.0,87.0,1046.09,0.0,0,10.9,0.0
344,688.0,794.0,106.0,1423.35,0.0,0,20.02,0.0
327,654.0,796.0,142.0,1710.55,6.0,1,26.23,0.0
377,754.0,797.0,43.0,480.98,0.0,0,17.64,0.0
321,642.0,800.0,158.0,1431.12,11.0,1,36.91,0.0
388,776.0,800.0,24.0,247.79,0.0,0,11.24,0.0
334,668.0,803.0,135.0,1384.74,10.0,1,55.43,0.0
371,742.0,807.0,65.0,536.74,1.0,1,30.97,0.0
366,732.0,816.0,84.0,976.36,5.0,1,27.4,0.0
390,780.0,818.0,38.0,338.68,0.0,0,17.93,0.0
382,764.0,819.0,55.0,328.4,9.0,1,30.81,0.0
357,714.0,826.0,112.0,1423.35,2.0,1,23.7,0.0
374,748.0,828.0,80.0,563.46,13.0,2,34.02,0.0
386,772.0,828.0,56.0,659.1,0.0,0,10.87,0.0
378,756.0,831.0,75.0,614.46,8.0,3,31.77,0.0
379,759.0,833.0,74.0,670.71,4.0,2,37.86,1.0
391,782.0,833.0,51.0,554.83,0.0,0,5.09,0.0
373,751.0,837.0,86.0,801.58,1.0,1,23.24,5.0
399,798.0,840.0,42.0,415.3,0.0,0,9.93,0.0
387,774.0,841.0,67.0,655.48,0.0,0,16.06,0.0
397,794.0,843.0,49.0,659.1,0.0,0,8.9,0.0
403,806.0,846.0,40.0,362.52,1.0,1,20.38,0.0
405,810.0,848.0,38.0,280.84,0.0,0,13.4,0.0
417,834.0,849.0,15.0,151.17,0.0,0,8.15,0.0
400,800.0,852.0,52.0,443.4,11.0,1,29.37,0.0
381,762.0,853.0,91.0,976.36,5.0,2,26.9,0.0
385,770.0,853.0,83.0,440.51,35.0,1,60.88,0.0
375,750.0,854.0,104.0,1046.09,0.0,0,12.84,0.0
412,824.0,858.0,34.0,325.93,1.0,1,13.19,0.0
359,718.0,861.0,143.0,1432.2,0.0,0,19.2,0.0
407,817.0,861.0,44.0,285.52,2.0,1,23.14,3.0
418,836.0,865.0,29.0,358.82,0.0,0,9.45,0.0
408,816.0,867.0,51.0,494.38,0.0,0,25.69,0.0
396,792.0,869.0,77.0,655.48,2.0,2,30.56,0.0
406,812.0,869.0,57.0,537.11,3.0,1,25.86,0.0
421,842.0,869.0,27.0,325.93,0.0,0,8.09,0.0
338,676.0,870.0,194.0,1839.76,25.0,2,60.85,0.0
392,784.0,871.0,87.0,609.96,26.0,2,51.5,0.0
394,788.0,871.0,83.0,976.36,2.0,2,30.14,0.0
428,857.0,873.0,16.0,200.19,0.0,0,6.41,1.0
398,796.0,875.0,79.0,1200.54,1.0,1,19.5,0.0
419,838.0,875.0,37.0,265.01,8.0,1,25.44,0.0
409,818.0,883.0,65.0,655.48,0.0,0,17.95,0.0
414,828.0,883.0,55.0,659.1,0.0,0,10.56,0.0
404,808.0,886.0,78.0,1046.09,0.0,0,10.38,0.0
422,844.0,886.0,42.0,369.29,0.0,0,18.4,0.0
383,766.0,887.0,121.0,1122.71,1.0,1,49.43,0.0
402,804.0,896.0,92.0,1200.54,0.0,0,18.59,0.0
424,848.0,899.0,51.0,689.94,0.0,0,16.67,0.0
420,840.0,901.0,61.0,344.16,13.0,1,38.74,0.0
427,854.0,902.0,48.0,567.72,0.0,0,10.92,0.0
426,852.0,904.0,52.0,668.27,0.0,0,9.56,0.0
423,848.0,906.0,58.0,464.4,0.0,0,32.37,2.0
437,874.0,908.0,34.0,297.53,0.0,0,17.02,0.0
435,870.0,916.0,46.0,537.11,0.0,0,18.62,0.0
438,876.0,920.0,44.0,416.38,0.0,0,13.25,0.0
389,778.0,921.0,143.0,572.01,86.0,2,109.17,0.0
453,906.0,921.0,15.0,197.94,0.0,0,5.23,0.0
413,827.0,923.0,96.0,823.94,1.0,1,23.54,1.0
411,822.0,928.0,106.0,572.01,50.0,1,73.92,0.0
384,769.0,929.0,160.0,1552.56,1.0,1,66.59,1.0
433,866.0,930.0,64.0,668.27,10.0,1,21.35,0.0
446,893.0,938.0,45.0,346.58,0.0,0,22.65,1.0
439,878.0,939.0,61.0,554.83,0.0,0,6.43,0.0
