step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label,current_congestion,future_congestion
359,12,4.63,4.0,3,Low,High,High
360,12,4.92,7.0,3,Low,High,Medium
361,12,3.5,11.0,5,Low,High,Medium
362,12,3.76,17.0,6,Low,High,Medium
363,13,3.78,16.0,5,Low,High,Medium
364,13,4.88,16.0,3,Low,High,Medium
365,12,5.66,15.0,2,Low,Medium,Medium
366,12,5.91,17.0,3,Low,Medium,Medium
367,12,6.11,9.0,1,Low,Medium,Medium
368,12,6.59,1.0,1,Low,Medium,Medium
369,12,7.47,2.0,1,Low,Medium,Medium
370,13,7.16,4.0,3,Low,Medium,Medium
371,13,7.48,6.0,2,Low,Medium,Medium
372,12,8.16,10.0,4,Low,Medium,Medium
373,12,8.09,14.0,4,Low,Medium,Medium
374,12,7.78,15.0,3,Low,Medium,Medium
375,12,7.27,18.0,4,Low,Medium,Medium
376,11,8.08,21.0,3,Low,Medium,Medium
377,11,8.71,24.0,3,Low,Medium,Medium
378,13,8.06,16.0,4,Low,Medium,Medium
379,13,8.68,9.0,2,Low,Medium,Medium
380,12,8.75,1.0,1,Low,Medium,Medium
381,13,7.45,3.0,4,Low,Medium,Medium
382,13,7.61,5.0,2,Low,Medium,Medium
383,12,7.74,4.0,2,Low,Medium,Medium
384,13,7.49,2.0,2,Low,Medium,Medium
385,13,7.51,1.0,1,Low,Medium,Medium
386,13,7.67,1.0,1,Low,Medium,Medium
387,13,7.1,3.0,3,Low,Medium,Medium
388,13,7.14,4.0,3,Low,Medium,Medium
389,14,6.26,7.0,4,Low,Medium,Medium
390,14,6.4,12.0,5,Low,Medium,Medium
391,13,6.84,18.0,6,Low,Medium,Medium
392,12,6.09,24.0,6,Low,Medium,Medium
393,13,6.37,24.0,6,Low,Medium,Medium
394,13,6.57,24.0,4,Low,Medium,Medium
395,13,6.49,17.0,2,Low,Medium,Medium
396,14,6.22,11.0,3,Low,Medium,Medium
397,13,7.46,14.0,3,Low,Medium,Medium
398,13,7.93,18.0,4,Low,Medium,Medium
399,15,6.98,22.0,6,Low,Medium,Medium
400,15,7.06,28.0,6,Low,Medium,Medium
401,15,7.81,17.0,4,Low,Medium,Medium
402,15,8.59,14.0,3,Low,Medium,Medium
403,15,9.16,10.0,2,Low,Medium,Medium
404,14,8.43,6.0,2,Low,Medium,Medium
405,14,8.31,8.0,3,Low,Medium,Medium
406,13,8.7,5.0,3,Low,Medium,Medium
407,12,9.17,4.0,2,Low,Medium,Medium
408,13,8.61,3.0,2,Low,Medium,Medium
409,13,8.8,4.0,1,Low,Medium,Medium
410,12,8.91,5.0,1,Low,Medium,Medium
411,13,7.84,6.0,3,Low,Medium,Medium
412,11,8.07,7.0,1,Low,Medium,Medium
413,11,8.74,0.0,0,Low,Medium,Medium
414,12,7.86,0.0,1,Low,Medium,Medium
415,11,8.04,0.0,0,Low,Medium,Medium
416,10,6.75,2.0,2,Low,Medium,Medium
417,11,5.89,4.0,3,Low,Medium,Medium
418,11,6.22,7.0,3,Low,Medium,Medium
419,11,6.64,7.0,3,Low,Medium,Medium
420,11,5.68,10.0,4,Low,Medium,Medium
421,11,6.09,11.0,3,Low,Medium,Medium
422,11,7.09,12.0,2,Low,Medium,Medium
423,10,7.49,14.0,3,Low,Medium,Medium
424,8,7.89,16.0,2,Low,Medium,Medium
425,8,8.34,8.0,1,Low,Medium,Medium
426,9,8.14,0.0,1,Low,Medium,Medium
427,9,8.8,0.0,0,Low,Medium,Medium
428,9,9.21,0.0,0,Low,Medium,High
429,9,7.62,0.0,1,Low,Medium,High
430,8,8.23,1.0,1,Low,Medium,High
431,8,8.75,3.0,2,Low,Medium,Medium
432,7,5.19,5.0,3,Low,Medium,Medium
433,6,3.8,7.0,2,Low,High,Medium
434,6,4.22,9.0,2,Low,High,Medium
435,7,4.51,11.0,3,Low,High,Medium
436,7,5.66,13.0,2,Low,Medium,Medium
437,6,6.27,7.0,1,Low,Medium,Medium
438,7,6.62,0.0,1,Low,Medium,Medium
439,7,7.34,1.0,1,Low,Medium,Medium
440,7,7.65,2.0,1,Low,Medium,Medium
441,7,7.25,3.0,1,Low,Medium,Medium
442,7,7.3,4.0,1,Low,Medium,Medium
443,7,7.25,5.0,1,Low,Medium,Medium
444,8,6.29,6.0,2,Low,Medium,Medium
445,8,7.17,7.0,1,Low,Medium,Medium
446,8,7.64,8.0,1,Low,Medium,Medium
447,8,8.17,9.0,1,Low,Medium,Medium
448,7,8.97,10.0,1,Low,Medium,Medium
449,7,10.03,11.0,1,Low,Medium,Medium
450,8,9.19,0.0,1,Low,Medium,Medium
451,7,10.14,1.0,1,Low,Medium,Medium
452,8,9.26,0.0,1,Low,Medium,Medium
453,8,10.58,0.0,0,Low,Medium,Medium
454,9,10.28,0.0,1,Low,Medium,Medium
455,9,10.85,1.0,1,Low,Medium,Medium
456,9,10.15,0.0,1,Low,Medium,Medium
457,10,9.08,0.0,1,Low,Medium,Medium
458,10,9.54,1.0,1,Low,Medium,Medium
459,10,9.75,0.0,1,Low,Medium,Medium
460,10,10.13,0.0,0,Low,Medium,Medium
461,10,10.78,0.0,0,Low,Medium,Medium
462,11,10.07,0.0,1,Low,Medium,Medium
463,11,10.48,1.0,1,Low,Medium,Medium
464,10,11.4,2.0,1,Low,Medium,Medium
465,11,10.65,0.0,1,Low,Medium,Medium
466,11,10.73,0.0,0,Low,Medium,Medium
467,9,10.64,0.0,0,Low,Medium,Medium
468,10,9.73,0.0,1,Low,Medium,Medium
469,9,9.58,0.0,0,Low,Medium,Medium
470,9,9.51,1.0,1,Low,Medium,Medium
471,9,9.01,0.0,1,Low,Medium,Medium
472,9,9.74,0.0,0,Low,Medium,Medium
473,9,9.93,0.0,0,Low,Medium,Medium
474,9,10.91,0.0,0,Low,Medium,Medium
475,8,11.6,1.0,1,Low,Medium,Medium
476,8,11.82,0.0,0,Low,Medium,Medium
477,9,9.9,0.0,1,Low,Medium,Medium
478,9,9.98,0.0,0,Low,Medium,Medium
479,8,9.15,0.0,0,Low,Medium,Medium
480,9,8.33,0.0,1,Low,Medium,Medium
481,9,9.05,1.0,1,Low,Medium,Medium
482,9,9.62,2.0,1,Low,Medium,Medium
483,10,9.08,0.0,1,Low,Medium,Medium
484,10,9.92,0.0,0,Low,Medium,Medium
485,10,10.23,0.0,0,Low,Medium,Medium
486,10,10.54,0.0,0,Low,Medium,Medium
487,10,9.6,2.0,2,Low,Medium,Medium
488,10,9.25,2.0,1,Low,Medium,Medium
489,10,8.25,3.0,2,Low,Medium,Medium
490,10,8.12,4.0,1,Low,Medium,Medium
491,10,6.21,5.0,2,Low,Medium,Medium
492,9,7.18,6.0,2,Low,Medium,Medium
493,10,7.02,0.0,1,Low,Medium,Medium
494,9,6.01,0.0,0,Low,Medium,Medium
495,10,6.6,0.0,1,Low,Medium,Medium
496,9,7.9,0.0,0,Low,Medium,Medium
497,8,9.1,0.0,0,Low,Medium,Medium
498,9,8.86,0.0,1,Low,Medium,Medium
499,9,9.65,0.0,0,Low,Medium,Medium
500,8,10.36,0.0,0,Low,Medium,Medium
501,8,10.06,0.0,1,Low,Medium,Medium
502,7,11.48,0.0,0,Low,Medium,Medium
503,7,11.94,0.0,0,Low,Medium,Medium
504,8,11.21,0.0,1,Low,Medium,Medium
